date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:07	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20Aug%202022%2012:47:07%20GMT	https://tansianuniversity.edu.ng/contact.php	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/contact.d.delayed	(from https://tansianuniversity.edu.ng/)
13:47:07	21904/21904	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Aug%202022%2012:47:08%20GMT	https://tansianuniversity.edu.ng/eportal.php	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/eportal.html	(from https://tansianuniversity.edu.ng/)
13:47:09	1029/1029	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Aug%202021%2023:11:24%20GMT	https://tansianuniversity.edu.ng/popup/popup.css	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/popup/popup.css	(from https://tansianuniversity.edu.ng/)
13:47:10	164/164	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Aug%202021%2022:33:22%20GMT	https://tansianuniversity.edu.ng/popup/popup.js	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/popup/popup.js	(from https://tansianuniversity.edu.ng/)
13:47:23	131247/131247	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Aug%202021%2010:35:20%20GMT	https://tansianuniversity.edu.ng/images/logo.png	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/images/logo.png	(from https://tansianuniversity.edu.ng/)
13:47:25	2136/2136	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Feb%202019%2017:18:42%20GMT	https://tansianuniversity.edu.ng/upload/icon-1.png	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/icon-1.png	(from https://tansianuniversity.edu.ng/)
13:47:27	1912/1912	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Feb%202019%2017:18:42%20GMT	https://tansianuniversity.edu.ng/upload/icon-2.png	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/icon-2.png	(from https://tansianuniversity.edu.ng/)
13:47:27	1766/1766	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Feb%202019%2017:18:42%20GMT	https://tansianuniversity.edu.ng/upload/icon-3.png	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/icon-3.png	(from https://tansianuniversity.edu.ng/)
13:47:28	1794/1794	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Feb%202019%2017:18:42%20GMT	https://tansianuniversity.edu.ng/upload/icon-4.png	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/icon-4.png	(from https://tansianuniversity.edu.ng/)
13:47:29	20306/20306	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Aug%202022%2012:47:29%20GMT	https://tansianuniversity.edu.ng/payment.php	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/payment.html	(from https://tansianuniversity.edu.ng/)
